Nursing summary from all date ranges
Average feedings per day: 10.1
Average minutes per feeding per day: 16.2
Average total minutes per day: 159.6

Oct 16 2017,,Feedings 3,Average 13.4 minutes,Total 40.1 minutes
Oct 12 2017,,Feedings 12,Average 19.8 minutes,Total 237.9 minutes
Start,End,Duration,Entry,Notes,Location
12:12 am,12:17 am,5 minutes,Nursed from right breast,,
3:08 am,3:23 am,13 minutes,Nursed from right breast,,
3:25 am,3:36 am,8 minutes,Nursed from left breast,,
5:11 am,5:20 am,8 minutes,Nursed from left breast,,
5:24 am,5:29 am,5 minutes,Nursed from right breast,,
7:07 am,7:12 am,5 minutes,Nursed from right breast,,
7:15 am,7:24 am,8 minutes,Nursed from right breast,,
7:30 am,7:32 am,2 minutes,Nursed from left breast,,
7:36 am,7:43 am,6 minutes,Nursed from left breast,,
8:32 am,8:47 am,14 minutes,Nursed from left breast,,
9:49 am,10:00 am,8 minutes,Nursed from right breast,,
10:16 am,10:30 am,13 minutes,Nursed from left breast,,
11:00 am,11:11 am,10 minutes,Nursed from left breast,,
12:37 pm,12:42 pm,4 minutes,Nursed from right breast,,
12:44 pm,12:52 pm,7 minutes,Nursed from right breast,,
12:52 pm,12:58 pm,5 minutes,Nursed from left breast,,
12:59 pm,1:00 pm,1 minute,Nursed from left breast,,
1:42 pm,1:49 pm,7 minutes,Nursed from left breast,,
2:48 pm,2:55 pm,6 minutes,Nursed from right breast,,
2:58 pm,3:13 pm,8 minutes,Nursed from right breast,,
3:20 pm,3:25 pm,4 minutes,Nursed from left breast,,
3:51 pm,3:53 pm,2 minutes,Nursed from right breast,,
5:34 pm,5:46 pm,11 minutes,Nursed from left breast,,
5:56 pm,6:02 pm,6 minutes,Nursed from right breast,,
6:40 pm,6:56 pm,15 minutes,Nursed from right breast,,
6:58 pm,7:10 pm,11 minutes,Nursed from left breast,,
7:16 pm,7:25 pm,9 minutes,Nursed from left breast,,
7:34 pm,7:40 pm,5 minutes,Nursed from right breast,,
7:51 pm,7:53 pm,2 minutes,Nursed from right breast,,
7:56 pm,7:58 pm,2 minutes,Nursed from right breast,,
8:30 pm,8:40 pm,10 minutes,Nursed from left breast,,

Oct 11 2017,,Feedings 11,Average 21.0 minutes,Total 230.7 minutes
Start,End,Duration,Entry,Notes,Location
12:09 am,12:18 am,6 minutes,Nursed from right breast,,
12:18 am,12:23 am,2 minutes,Nursed from left breast,,
3:22 am,3:30 am,6 minutes,Nursed from left breast,,
3:31 am,3:36 am,2 minutes,Nursed from right breast,,
4:53 am,4:58 am,5 minutes,Nursed from right breast,,
5:04 am,5:09 am,4 minutes,Nursed from right breast,,
5:09 am,5:11 am,1 minute,Nursed from left breast,,
5:11 am,5:17 am,5 minutes,Nursed from left breast,,
6:24 am,6:29 am,4 minutes,Nursed from left breast,,
7:21 am,7:29 am,7 minutes,Nursed from left breast,,
7:30 am,7:34 am,3 minutes,Nursed from right breast,,
7:38 am,7:40 am,1 minute,Nursed from right breast,,
8:13 am,8:19 am,6 minutes,Nursed from right breast,,
8:56 am,9:02 am,4 minutes,Nursed from left breast,,
9:05 am,9:13 am,7 minutes,Nursed from right breast,,
9:33 am,9:40 am,6 minutes,Nursed from right breast,,
10:25 am,10:36 am,11 minutes,Nursed from left breast,,
12:23 pm,12:35 pm,7 minutes,Nursed from right breast,,
12:36 pm,12:41 pm,5 minutes,Nursed from right breast,,
12:56 pm,1:03 pm,6 minutes,Nursed from left breast,,
1:32 pm,1:35 pm,2 minutes,Nursed from left breast,,
1:36 pm,1:41 pm,3 minutes,Nursed from left breast,,
1:50 pm,1:53 pm,3 minutes,Nursed from left breast,,
2:10 pm,2:13 pm,2 minutes,Nursed from right breast,,
2:25 pm,2:28 pm,3 minutes,Nursed from right breast,,
2:39 pm,2:50 pm,10 minutes,Nursed from right breast,,
3:13 pm,3:17 pm,3 minutes,Nursed from left breast,,
3:33 pm,3:36 pm,2 minutes,Nursed from left breast,,
3:46 pm,3:55 pm,8 minutes,Nursed from right breast,,
5:39 pm,5:50 pm,10 minutes,Nursed from left breast,,
5:50 pm,5:57 pm,6 minutes,Nursed from right breast,,
6:05 pm,6:13 pm,8 minutes,Nursed from right breast,,
6:26 pm,6:33 pm,6 minutes,Nursed from left breast,,
6:55 pm,7:00 pm,5 minutes,Nursed from left breast,,
